Date,Close
9/10/09,52.27
12/10/09,52.64
13/10/09,52.68
14/10/09,53.66
15/10/09,54.76
16/10/09,55.01
19/10/09,56.4
20/10/09,56.18
21/10/09,56.42
22/10/09,56.64
23/10/09,55.42
26/10/09,55.48
27/10/09,57.82
28/10/09,56.82
29/10/09,58.3
30/10/09,56.62
2/11/09,57.27
3/11/09,57.55
4/11/09,57.58
5/11/09,58.53
6/11/09,58.43
9/11/09,59.93
10/11/09,59.13
11/11/09,58.33
12/11/09,57.27
13/11/09,58.35
16/11/09,59.26
17/11/09,59.5
18/11/09,59.24
19/11/09,58.63
20/11/09,57.83
23/11/09,58.64
24/11/09,58.72
25/11/09,59.22
27/11/09,58.11
30/11/09,57.18
1/12/09,58.58
2/12/09,58.64
3/12/09,57.62
4/12/09,57.86
7/12/09,58.17
8/12/09,57.04
9/12/09,56.7
10/12/09,56.39
11/12/09,56.45
14/12/09,56.77
15/12/09,56.43
16/12/09,57.04
17/12/09,55.9
18/12/09,56.18
21/12/09,57.24
22/12/09,57.48
23/12/09,57.91
24/12/09,58.24
28/12/09,58.63
29/12/09,58.05
30/12/09,58.16
31/12/09,57.97
4/1/10,59.15
5/1/10,59.57
6/1/10,59.88
7/1/10,59.86
8/1/10,60
11/1/10,61.89
12/1/10,61.5
13/1/10,61.8
14/1/10,61.73
15/1/10,61.64
19/1/10,62.32
20/1/10,61.06
21/1/10,59.57
22/1/10,57.87
25/1/10,58.55
26/1/10,58.49
27/1/10,58.06
28/1/10,57.33
29/1/10,56.12
1/2/10,57.23
2/2/10,55.46
3/2/10,55.17
4/2/10,53.48
5/2/10,53.18
8/2/10,52.43
9/2/10,53.61
10/2/10,53.65
11/2/10,54.8
12/2/10,54.67
16/2/10,55.95
17/2/10,54.24
18/2/10,54.74
19/2/10,54.3
22/2/10,54.25
23/2/10,53.22
24/2/10,53.58
25/2/10,52.89
26/2/10,53.21
1/3/10,53.98
2/3/10,54
3/3/10,54.86
4/3/10,55.09
5/3/10,55.78
8/3/10,56.17
9/3/10,56.04
10/3/10,56.19
11/3/10,56.6
12/3/10,56.86
15/3/10,56.58
16/3/10,57.18
17/3/10,58.15
18/3/10,58.15
19/3/10,57.69
22/3/10,57.35
23/3/10,57.95
24/3/10,57.23
25/3/10,56.53
26/3/10,56.69
29/3/10,56.89
30/3/10,56.83
31/3/10,57.07
1/4/10,57.74
5/4/10,58.51
6/4/10,59.36
7/4/10,58.78
8/4/10,58.97
9/4/10,59.46
12/4/10,59.34
13/4/10,59.29
