TICKER,SOURCE,TICKER_TYPE,DESCRIPTION
AAPL,YAHOO,STOCK,Apple
AMZN,YAHOO,STOCK,Amazon
BA,YAHOO,STOCK,Boeing
BIGC,YAHOO,STOCK,Big Commerce
CGC,YAHOO,STOCK,Canopy Growth Corp
CPER,YAHOO,ETF,United States Copper Index Fund
DFRYF,YAHOO,STOCK,Dufry AG
EWG,YAHOO,ETF,iShares MSCI Germany ETF
EWJ,YAHOO,ETF,iShares MSCI Japan ETF
EXPE,YAHOO,STOCK,Expedia
FB,YAHOO,STOCK,Facebook
FXI,YAHOO,ETF,iShares China Large Cap
GDRX,YAHOO,STOCK,Goodrx Holdings
GDX,YAHOO,ETF,VanEck Vectors Gold Miners ETF
GDXJ,YAHOO,ETF,VanEck Vectors Junior Gold Miners ETF
GLD,YAHOO,ETF,SPDR Gold Trust
GME,YAHOO,STOCK,Gamestop
GOOGL,YAHOO,STOCK,Alphabet Class A
IEF,YAHOO,ETF,iShares 7-10 Year Treasury Bond ETF
IWM,YAHOO,ETF,iShares Russell 2000 ETF
KWEB,YAHOO,ETF,KraneShares CSI China Internet ETF
LVS,YAHOO,STOCK,Las Vegas Sands Corp
MSFT,YAHOO,STOCK,Microsoft
MSOS,YAHOO,ETF,AdvisorShares Pure US Cannabis ETF
MSTR,YAHOO,STOCK,Microstrategy Inc
NFLX,YAHOO,STOCK,Netflix
PLTR,YAHOO,STOCK,Palantir
QQQ,YAHOO,ETF,Invesco NASDAQ 100 Trust
RTX,YAHOO,STOCK,Raytheon
SAVE,YAHOO,STOCK,Spirit Airlines
SHY,YAHOO,ETF,iShares 1-3 Year Treasury Bond ETF
SLV,YAHOO,ETF,iShares Silver Trust
SPY,YAHOO,ETF,SPDR S&P 500
TLT,YAHOO,ETF,iShares 20+ Year Treasury Bond ETF
TSLA,YAHOO,STOCK,Tesla
UNG,YAHOO,ETF,United States Natural Gas Fund
USO,YAHOO,ETF,United States Oil Fund
UUP,YAHOO,ETF,Invesco DB US Dollar Index Bullish Fund
VIXM,YAHOO,ETF,ProShares VIX Mid-Term Futures ETF
VIXY,YAHOO,ETF,ProShares VIX Short-Term Futures ETF
VNQ,YAHOO,ETF,Vanguard Real Estate Index Fund
XLE,YAHOO,ETF,SPDR S&P - Energy
XLB,YAHOO,ETF,SPDR S&P - Materials
XLF,YAHOO,ETF,SPDR S&P - Financials
XLI,YAHOO,ETF,SPDR S&P - Industrials
XLK,YAHOO,ETF,SPDR S&P - Technology
XLP,YAHOO,ETF,SPDR S&P - Consumer Staples 
XLU,YAHOO,ETF,SPDR S&P - Utilities 
XM,YAHOO,STOCK,Qualtrics
BTC-USD,YAHOO,CRYPTO,Bitcoin USD
ETH-USD,YAHOO,CRYPTO,Ethereum USD
XMR-USD,YAHOO,CRYPTO,Monero USD
