TICKER,SOURCE,TICKER_TYPE,DESCRIPTION,QUAD1_GOLDILOCKS,QUAD2_REFLATION,QUAD3_STAGFLATION,QUAD4_DEFLATION
XLV,YAHOO,ETF,Health Care Select Sector SPDR Fund,0,0,0,1
XLP,YAHOO,ETF,SPDR S&P - Consumer Staples ,0,0,0,1
XLU,YAHOO,ETF,SPDR S&P - Utilities ,0,0,1,1
XLK,YAHOO,ETF,SPDR S&P - Technology,1,1,1,0
XLY,YAHOO,ETF,SPDR S&P - Consumer Discretionary,1,1,0,0
XLB,YAHOO,ETF,SPDR S&P - Materials,1,0,0,0
XLI,YAHOO,ETF,SPDR S&P - Industrials,1,1,0,0
XLE,YAHOO,ETF,SPDR S&P - Energy,0,1,1,0
XTL,YAHOO,ETF,SPDR S&P - Telecom,1,0,0,0
XLK,YAHOO,ETF,SPDR S&P - Technology,1,0,0,0
XOP,YAHOO,ETF,SPDR S&P - Oil & Gas,1,0,0,0
QQQ,YAHOO,ETF,Invesco NASDAQ 100 Trust,1,0,1,0
HG=F,YAHOO,COMMODITY,Copper CMX Futures,1,0,0,0
NG=F,YAHOO,COMMODITY,Natgas NYM Futures,1,0,0,0
SPHB,YAHOO,ETF,Invesco S&P 500 High Beta,1,1,0,0
SPLV,YAHOO,ETF,Invesco S&P 500 Low Volatility,0,0,0,1
MTUM,YAHOO,ETF,iShares MSCI USA Momentum Factor,1,1,0,0
IWF,YAHOO,ETF,iShares Russell 1000 Growth,0,1,0,0
IWM,YAHOO,ETF,iShares Russell 2000,1,1,0,0
MDY,YAHOO,ETF,SPDR S&P MIDCAP 400,1,0,0,0
CWB,YAHOO,ETF,SPDR Bloomberg Barclays Convertible Securities,1,1,0,0
HYG,YAHOO,ETF,iShares iBoxx High Yield Corporate Bond,1,0,0,0
BKLN,YAHOO,ETF,Invesco Senior Loan,1,1,0,0
BIZD,YAHOO,ETF,VanEck Vectors BDC Income,1,1,0,0
FXE,YAHOO,ETF,Invesco CurrencyShares Euro Currency Trust,1,0,0,0
JJC,YAHOO,ETF,iPath Series B Bloomberg Copper Subindex Total Return ETN,1,0,0,0
PFF,YAHOO,ETF,iShares Preferred and Income Securities,0,1,0,0
CEW,YAHOO,ETF,WisdomTree Emerging Currency Strategy Fund,0,1,0,0
USO,YAHOO,ETF,United States Oil Fund,0,1,1,0
VNQ,YAHOO,ETF,Vanguard Real Estate Index Fund,0,0,1,1
UNG,YAHOO,ETF,United States Natural Gas Fund,1,0,0,0
MUB,YAHOO,ETF,iShares National Muni Bond,0,0,1,0
MBB,YAHOO,ETF,iShares MBS,0,0,0,1
SHY,YAHOO,ETF,iShares 1-3 Year Treasury Bond,0,0,0,1
IEF,YAHOO,ETF,iShares 7-10 Year Treasury Bond,0,0,0,1
TLT,YAHOO,ETF,iShares 20+ Year Treasury Bond ETF,0,0,1,1
TIP,YAHOO,ETF,iShares TIPS Bond,0,0,1,0
LQD,YAHOO,ETF,iShares iBoxx $ Investment Grade Corporate Bond,0,0,1,0
UDN,YAHOO,ETF,Invesco DB US Dollar Index Bearish Fund,0,0,1,0
SDY,YAHOO,ETF,SPDR S&P Dividend,0,0,0,1
DEF,YAHOO,ETF,Invesco Defensive Equity,0,0,0,1
QUAL,YAHOO,ETF,iShares MSCI USA Quality Factor,0,0,0,1
UUP,YAHOO,ETF,Invesco DB US Dollar Index Bullish Fund,0,0,0,1
GDX,YAHOO,ETF,VanEck Vectors Gold Miners ETF,0,0,1,0
GDXJ,YAHOO,ETF,VanEck Vectors Junior Gold Miners ETF,0,0,1,0
GLD,YAHOO,ETF,SPDR Gold Trust,0,0,0,1
VIXM,YAHOO,ETF,ProShares VIX Mid-Term Futures ETF,0,0,1,1
VIXY,YAHOO,ETF,ProShares VIX Short-Term Futures ETF,0,0,1,1
BTC-USD,YAHOO,CRYPTO,Bitcoin USD,1,1,0,0
ETH-USD,YAHOO,CRYPTO,Ethereum USD,1,1,0,0
XMR-USD,YAHOO,CRYPTO,Monero USD,1,1,0,0
DOGE-USD,YAHOO,CRYPTO,Dogecoin USD,1,1,0,0
^OVX,YAHOO,INDEX,CBOE Crude Oil Volatility Index,0,0,1,1
^VIX,YAHOO,INDEX,CBOE Volatility Index,0,0,1,1
